record_birds,record_id,species_common_name,species_scientific_name,species_abbreviation,count,accompanying_numbers,accompanying_ocurrence,record_ship,date,time,lat,long,ship_act,speed,cloud_cover,precipitation,wind_speed,sea_state,obs
1,1083001,Royal / Wandering albatross,Diomedea epomophora / sanfordi / antipodensis / exulans,DIOEPOSANANTEXU,6,6,Y,1,1975-10-15T00:00:00Z, 14:00:00,-45.916666666666664,165.4,1,15,2,8,5,5,JEFF
2,1083001,Black-browed albatross sensu lato,Diomedea impavida / melanophrys,DIOIMPMEL,2,2,Y,1,1975-10-15T00:00:00Z, 14:00:00,-45.916666666666664,165.4,1,15,2,8,5,5,JEFF
3,1083001,Cape petrel,Daption capense,DAPCAP,8,8,Y,1,1975-10-15T00:00:00Z, 14:00:00,-45.916666666666664,165.4,1,15,2,8,5,5,JEFF
4,1083001,Fairy prion,Pachyptila turtur,PACTUR,2,2,Y,1,1975-10-15T00:00:00Z, 14:00:00,-45.916666666666664,165.4,1,15,2,8,5,5,JEFF
5,1083001,Sooty shearwater,Puffinus griseus,PUFGRI,4,4,Y,1,1975-10-15T00:00:00Z, 14:00:00,-45.916666666666664,165.4,1,15,2,8,5,5,JEFF
6,1084001,Royal albatross sensu lato,Diomedea epomophora / sanfordi,DIOEPOSAN,10,0,N,2,1975-11-03T00:00:00Z, 13:10:00,-35.53333333333333,125,1,14,1,0,4,4,JEFF
7,1084001,Black-browed albatross sensu lato,Diomedea impavida / melanophrys,DIOIMPMEL,2,0,N,2,1975-11-03T00:00:00Z, 13:10:00,-35.53333333333333,125,1,14,1,0,4,4,JEFF
9,1084002,Royal albatross sensu lato,Diomedea epomophora / sanfordi,DIOEPOSAN,10,0,N,3,1975-11-04T00:00:00Z, 14:20:00,-37.666666666666664,132.25,1,14.5,2,0,4,4,JEFF
10,1084002,Black-browed albatross sensu lato,Diomedea impavida / melanophrys,DIOIMPMEL,2,0,N,3,1975-11-04T00:00:00Z, 14:20:00,-37.666666666666664,132.25,1,14.5,2,0,4,4,JEFF
15,1084003,Royal albatross sensu lato,Diomedea epomophora / sanfordi,DIOEPOSAN,14,0,N,4,1975-11-08T00:00:00Z, 16:15:00,-40,162,1,14.6,1,2,4,4,JEFF
16,1084003,Black-browed albatross sensu lato,Diomedea impavida / melanophrys,DIOIMPMEL,4,0,N,4,1975-11-08T00:00:00Z, 16:15:00,-40,162,1,14.6,1,2,4,4,JEFF
17,1084003,Giant petrel sensu lato,Macronectes sp.,MACSP,3,0,N,4,1975-11-08T00:00:00Z, 16:15:00,-40,162,1,14.6,1,2,4,4,JEFF
18,1084003,Cape petrel,Daption capense,DAPCAP,8,8,Y,4,1975-11-08T00:00:00Z, 16:15:00,-40,162,1,14.6,1,2,4,4,JEFF
20,1086001,Fairy prion,Pachyptila turtur,PACTUR,6,6,Y,5,1975-11-16T00:00:00Z, 12:30:00,-36.166666666666664,174.91666666666666,1,15,1,0,0,1,JEFF
23,1086002,Wilson's storm petrel,Oceanites oceanicus,OCEOCE,22,0,N,6,1975-11-16T00:00:00Z, 15:30:00,-35.416666666666664,174.56666666666666,1,15,2,0,3,3,JEFF
24,1086002,Australasian gannet,Morus serrator,MORSER,7,0,N,6,1975-11-16T00:00:00Z, 15:30:00,-35.416666666666664,174.56666666666666,1,15,2,0,3,3,JEFF
25,1086003,Wandering albatross sensu lato AD,Diomedea antipodensis / exulans AD,DIOANTEXU AD,4,0,N,7,1975-11-17T00:00:00Z, 14:30:00,-35.25,168,1,15,1,8,3,3,JEFF
26,1086003,Wandering albatross sensu lato JUV,Diomedea antipodensis / exulans JUV,DIOANTEXU JUV,2,0,N,7,1975-11-17T00:00:00Z, 14:30:00,-35.25,168,1,15,1,8,3,3,JEFF
27,1086003,Royal albatross sensu lato AD,Diomedea epomophora / sanfordi AD,DIOEPOSAN AD,3,0,N,7,1975-11-17T00:00:00Z, 14:30:00,-35.25,168,1,15,1,8,3,3,JEFF
28,1086003,Northern giant petrel,Macronectes halli,MACHAL,3,0,N,7,1975-11-17T00:00:00Z, 14:30:00,-35.25,168,1,15,1,8,3,3,JEFF
29,1086003,White-chinned petrel,Procellaria aequinoctialis,PROAEQ,1,0,N,7,1975-11-17T00:00:00Z, 14:30:00,-35.25,168,1,15,1,8,3,3,JEFF
30,1086003,Sooty shearwater,Puffinus griseus,PUFGRI,1,1,Y,7,1975-11-17T00:00:00Z, 14:30:00,-35.25,168,1,15,1,8,3,3,JEFF
31,1086004,Wandering albatross sensu lato AD,Diomedea antipodensis / exulans AD,DIOANTEXU AD,4,0,N,8,1975-11-17T00:00:00Z, 16:30:00,-35.3,167.33333333333334,1,15,1,8,2,3,JEFF
32,1086004,Wandering albatross sensu lato JUV,Diomedea antipodensis / exulans JUV,DIOANTEXU JUV,2,0,N,8,1975-11-17T00:00:00Z, 16:30:00,-35.3,167.33333333333334,1,15,1,8,2,3,JEFF
33,1086004,Royal albatross sensu lato,Diomedea epomophora / sanfordi,DIOEPOSAN,3,0,N,8,1975-11-17T00:00:00Z, 16:30:00,-35.3,167.33333333333334,1,15,1,8,2,3,JEFF
34,1086004,Northern giant petrel,Macronectes halli,MACHAL,1,0,N,8,1975-11-17T00:00:00Z, 16:30:00,-35.3,167.33333333333334,1,15,1,8,2,3,JEFF
35,1086004,White-chinned petrel,Procellaria aequinoctialis,PROAEQ,1,0,N,8,1975-11-17T00:00:00Z, 16:30:00,-35.3,167.33333333333334,1,15,1,8,2,3,JEFF
36,1086005,Wandering albatross sensu lato AD,Diomedea antipodensis / exulans AD,DIOANTEXU AD,3,0,N,9,1975-11-18T00:00:00Z, 14:30:00,-36.5,161,1,15,1,0,3,4,JEFF
37,1086005,Wandering albatross sensu lato IMM,Diomedea antipodensis / exulans IMM,DIOANTEXU IMM,4,0,N,9,1975-11-18T00:00:00Z, 14:30:00,-36.5,161,1,15,1,0,3,4,JEFF
38,1086005,Northern royal albatross AD,Diomedea sanfordi AD,DIOSAN AD,2,0,N,9,1975-11-18T00:00:00Z, 14:30:00,-36.5,161,1,15,1,0,3,4,JEFF
39,1086005,Royal albatross sensu lato,Diomedea epomophora / sanfordi,DIOEPOSAN,4,0,N,9,1975-11-18T00:00:00Z, 14:30:00,-36.5,161,1,15,1,0,3,4,JEFF
40,1086005,White-chinned petrel,Procellaria aequinoctialis,PROAEQ,2,0,N,9,1975-11-18T00:00:00Z, 14:30:00,-36.5,161,1,15,1,0,3,4,JEFF
42,1086006,Wandering albatross sensu lato IMM,Diomedea antipodensis / exulans IMM,DIOANTEXU IMM,1,0,N,10,1975-11-18T00:00:00Z, 16:30:00,-36.333333333333336,160.5,1,15,1,0,2,3,JEFF
43,1086006,Royal albatross sensu lato,Diomedea epomophora / sanfordi,DIOEPOSAN,3,0,N,10,1975-11-18T00:00:00Z, 16:30:00,-36.333333333333336,160.5,1,15,1,0,2,3,JEFF
44,1086007,Royal albatross sensu lato AD,Diomedea epomophora / sanfordi AD,DIOEPOSAN AD,1,0,N,11,1975-11-20T00:00:00Z, 12:00:00,-39.18333333333333,146.28333333333333,1,15,2,0,7,5,JEFF
45,1086007,Sooty shearwater,Puffinus griseus,PUFGRI,1,0,N,11,1975-11-20T00:00:00Z, 12:00:00,-39.18333333333333,146.28333333333333,1,15,2,0,7,5,JEFF
46,1086007,Australasian gannet,Morus serrator,MORSER,1,0,N,11,1975-11-20T00:00:00Z, 12:00:00,-39.18333333333333,146.28333333333333,1,15,2,0,7,5,JEFF
48,1087002,Wandering albatross sensu lato IMM,Diomedea antipodensis / exulans IMM,DIOANTEXU IMM,3,0,N,13,1975-11-23T00:00:00Z, 14:30:00,-39.666666666666664,154.16666666666666,1,15,2,0,6,5,JEFF
49,1087002,Royal albatross sensu lato AD,Diomedea epomophora / sanfordi AD,DIOEPOSAN AD,2,0,N,13,1975-11-23T00:00:00Z, 14:30:00,-39.666666666666664,154.16666666666666,1,15,2,0,6,5,JEFF
50,1087002,Black-browed albatross sensu lato AD,Diomedea impavida / melanophrys AD,DIOIMPMEL AD,3,0,N,13,1975-11-23T00:00:00Z, 14:30:00,-39.666666666666664,154.16666666666666,1,15,2,0,6,5,JEFF
51,1087002,White-chinned petrel,Procellaria aequinoctialis,PROAEQ,3,0,N,13,1975-11-23T00:00:00Z, 14:30:00,-39.666666666666664,154.16666666666666,1,15,2,0,6,5,JEFF
52,1087003,Wandering albatross sensu lato IMM,Diomedea antipodensis / exulans IMM,DIOANTEXU IMM,3,0,N,14,1975-11-23T00:00:00Z, 16:00:00,-39.666666666666664,155,1,15,2,0,6,5,JEFF
53,1087003,Royal albatross sensu lato AD,Diomedea epomophora / sanfordi AD,DIOEPOSAN AD,2,0,N,14,1975-11-23T00:00:00Z, 16:00:00,-39.666666666666664,155,1,15,2,0,6,5,JEFF
54,1087003,Black-browed albatross sensu lato AD,Diomedea impavida / melanophrys AD,DIOIMPMEL AD,3,0,N,14,1975-11-23T00:00:00Z, 16:00:00,-39.666666666666664,155,1,15,2,0,6,5,JEFF
55,1087003,White-chinned petrel,Procellaria aequinoctialis,PROAEQ,6,6,Y,14,1975-11-23T00:00:00Z, 16:00:00,-39.666666666666664,155,1,15,2,0,6,5,JEFF
